,ID Cliente,Abandono,Género,Adulto mayor,Con pareja,Dependientes,Antigüedad,Servicio Telefónico,Líneas Múltiples,Servicio de Internet,Seguridad Online,Copia de Seguridad Online,Protección Dispositivo,Soporte Técnico,Streaming TV,Streaming Películas,Tipo de contrato,Facturación Sin Papel,Método de Pago,Cargos Mensuales,Cargos Totales,Cargos Diarios,Numero de Servicios
114,0195-IESCP,Sí,Masculino,No,Sí,No,10,Sí,1,Fibra óptica,0,0,0,0,0,1,Mensual,Sí,Cheque electrónico,85.25,855.3,2.841666666666667,4
115,0196-JTUQI,No,Femenino,No,No,No,9,Sí,1,Fibra óptica,0,0,0,0,0,0,Mensual,Sí,Tarjeta de crédito (automático),75.2,633.85,2.506666666666667,3
116,0196-VULGZ,Sí,Femenino,Sí,Sí,No,6,Sí,1,Fibra óptica,0,0,0,0,0,1,Mensual,Sí,Cheque electrónico,84.35,474.9,2.8116666666666665,4
117,0197-PNKNK,No,Femenino,No,Sí,Sí,69,Sí,1,Fibra óptica,1,0,1,0,0,0,Anual,No,Transferencia bancaria (automática),84.45,5848.6,2.815,5
118,0201-MIBOL,No,Femenino,Sí,No,No,66,Sí,1,Fibra óptica,1,0,0,0,1,1,Semestral,Sí,Transferencia bancaria (automática),102.4,6471.85,3.4133333333333336,6
119,0201-OAMXR,Sí,Femenino,No,No,No,70,Sí,1,Fibra óptica,1,1,1,1,1,1,Anual,No,Tarjeta de crédito (automático),115.55,8127.6,3.8516666666666666,9
120,0203-HHYIJ,Sí,Masculino,No,No,No,25,Sí,1,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Anual,No,Transferencia bancaria (automática),25.3,676.35,0.8433333333333334,2
121,0206-OYVOC,No,Femenino,No,Sí,Sí,46,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Semestral,Sí,Cheque por correo,19.25,864.2,0.6416666666666667,1
122,0206-TBWLC,No,Femenino,No,Sí,No,54,Sí,1,Fibra óptica,1,1,1,1,1,1,Anual,Sí,Cheque por correo,114.65,6049.5,3.8216666666666668,9
123,0207-MDKNV,Sí,Femenino,No,No,No,15,Sí,0,Fibra óptica,1,0,1,1,1,1,Mensual,No,Cheque electrónico,105.1,1582.75,3.503333333333333,7
124,0208-BPQEJ,No,Femenino,No,Sí,Sí,12,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Mensual,No,Transferencia bancaria (automática),19.4,198.1,0.6466666666666666,1
125,0212-ISBBF,No,Femenino,No,No,No,22,No,Sin servicio telefónico,DSL,0,1,0,0,1,1,Mensual,Sí,Cheque electrónico,50.35,1098.85,1.6783333333333335,4
126,0214-JHPFW,No,Femenino,No,Sí,No,70,No,Sin servicio telefónico,DSL,0,1,1,1,1,1,Semestral,No,Transferencia bancaria (automática),57.8,4039.3,1.9266666666666665,6
127,0215-BQKGS,No,Masculino,No,No,No,30,Sí,0,Fibra óptica,1,1,1,0,0,0,Mensual,Sí,Tarjeta de crédito (automático),84.3,2438.6,2.81,5
128,0218-QNVAS,No,Masculino,No,Sí,Sí,71,Sí,1,Fibra óptica,0,1,0,0,1,1,Anual,No,Transferencia bancaria (automática),100.55,7113.75,3.3516666666666666,6
129,0219-QAERP,No,Masculino,No,Sí,No,30,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Anual,No,Tarjeta de crédito (automático),19.8,576.65,0.66,1
130,0219-YTZUE,Sí,Masculino,No,Sí,Sí,4,Sí,1,Fibra óptica,0,1,1,0,0,0,Mensual,Sí,Transferencia bancaria (automática),84.8,371.9,2.8266666666666667,5
131,0220-EBGCE,Sí,Masculino,No,No,No,2,Sí,0,Fibra óptica,0,0,1,0,0,1,Mensual,Sí,Cheque electrónico,85.85,167.3,2.8616666666666664,4
132,0221-NAUXK,No,Masculino,No,No,Sí,10,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Anual,Sí,Transferencia bancaria (automática),19.95,219.5,0.6649999999999999,1
133,0221-WMXNQ,No,Masculino,Sí,No,No,4,Sí,0,Fibra óptica,1,0,0,0,0,0,Mensual,No,Cheque electrónico,75.35,273.4,2.5116666666666663,3
134,0222-CNVPT,No,Masculino,Sí,No,No,52,No,Sin servicio telefónico,DSL,1,0,0,0,1,1,Mensual,Sí,Tarjeta de crédito (automático),48.8,2555.05,1.6266666666666665,4
135,0224-HJAPT,Sí,Masculino,No,No,No,5,Sí,1,DSL,0,0,0,0,0,0,Mensual,No,Cheque electrónico,47.15,223.15,1.5716666666666665,3
136,0224-NIJLP,No,Masculino,No,Sí,Sí,8,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Semestral,No,Cheque por correo,20.15,165.5,0.6716666666666666,1
137,0224-RLWWD,No,Femenino,Sí,No,No,2,Sí,0,DSL,0,0,0,0,0,0,Mensual,Sí,Cheque electrónico,44.3,89.3,1.4766666666666666,2
138,0225-ZORZP,No,Masculino,No,No,No,3,Sí,0,Fibra óptica,0,1,0,0,0,1,Mensual,No,Cheque electrónico,84.3,235.05,2.81,4
